"","S1 0.00288484467193453","S1 0.0295272800868918"
"filling_avg_temp",2,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",22,61
"filling_fq_Snow_depth..1",5,61
"filling_length_days",61,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",29,61
"filling_sk_Maximum_temperature..31",21,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",24,61
"filling_total_prec",14,61
"generative_avg_temp",3,5
"generative_fq_Maximum_temperature..31",15,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",18,61
"generative_fq_Snow_depth..1",61,8
"generative_length_days",61,61
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",30,61
"generative_sk_Precipitation_amount..0.1",27,61
"generative_sk_Precipitation_amount..40",32,61
"generative_sk_Snow_depth..1",61,61
"generative_total_prec",16,7
"NA_avg_temp",4,3
"NA_fq_Maximum_temperature..31",23,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",8,6
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",6,61
"NA_fq_Snow_depth..4",61,4
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",20,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",17,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",13,61
"NA_sk_Snow_depth..4",28,61
"NA_total_prec",10,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",31,61
"vegetative_fq_Precipitation_amount..0.1",11,61
"vegetative_fq_Precipitation_amount..40",26,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",7,2
"vegetative_sk_Maximum_temperature..31",34,61
"vegetative_sk_Precipitation_amount..0.1",12,61
"vegetative_sk_Precipitation_amount..40",33,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",19,61
"critical_events",61,61
"filling",25,61
"generative",61,61
"NA.",9,61
"vegetative",61,61
"area",1,1
