"","S1 0.00422148462108406","S1 0.0326854222287186"
"filling_avg_temp",3,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",15,61
"filling_fq_Snow_depth..1",30,61
"filling_length_days",20,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",21,61
"filling_sk_Maximum_temperature..31",27,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",26,61
"filling_total_prec",6,8
"generative_avg_temp",5,9
"generative_fq_Maximum_temperature..31",17,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",11,61
"generative_fq_Snow_depth..1",61,7
"generative_length_days",61,10
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",24,61
"generative_sk_Precipitation_amount..0.1",29,61
"generative_sk_Precipitation_amount..40",28,61
"generative_sk_Snow_depth..1",61,11
"generative_total_prec",7,5
"NA_avg_temp",4,4
"NA_fq_Maximum_temperature..31",22,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",16,61
"NA_fq_Snow_depth..4",61,3
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",13,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",25,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",18,61
"NA_sk_Snow_depth..4",61,61
"NA_total_prec",9,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",61,61
"vegetative_fq_Precipitation_amount..0.1",14,61
"vegetative_fq_Precipitation_amount..40",31,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",19,6
"vegetative_sk_Maximum_temperature..31",61,61
"vegetative_sk_Precipitation_amount..0.1",10,61
"vegetative_sk_Precipitation_amount..40",32,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",12,61
"critical_events",61,61
"filling",23,61
"generative",61,61
"NA.",8,61
"vegetative",61,61
"area",1,1
